follower_id,followee_id
9625,9288
9373,9288
4569,9288
11673,9288
2165,9288
12608,9288
6638,9288
8027,9288
10859,9288
526,9288
7605,9288
7398,9288
5659,9288
1751,9288
7421,9288
3277,9288
961,4457
688,4457
9899,417
5724,417
7593,417
4915,417
11613,417
2319,417
4731,417
6024,417
8537,417
7463,417
10259,417
1411,417
1107,417
7836,417
7975,417
10469,417
7828,417
10378,417
11879,417
4569,417
11907,417
8065,417
538,417
7852,417
3939,417
7985,417
11385,417
7740,417
9741,417
3511,417
12453,417
4860,417
7845,417
8323,417
5494,417
1197,417
1228,417
7005,417
6902,417
2917,417
11251,417
8860,417
2542,417
12792,417
4064,417
7152,417
7394,417
11393,417
1842,417
5850,417
7586,3141
10092,9873
3861,1322
244,1322
9952,1322
7765,1322
11167,1322
9899,1322
9074,1322
926,1322
266,1322
6573,1322
5107,1322
252,1322
4915,1322
7355,1322
8296,1322
1735,1322
100,1322
620,1322
48,1322
11613,1322
2319,1322
6024,1322
8536,1322
868,1322
6602,1322
4803,1322
5275,1322
1411,1322
11709,1322
8914,1322
1107,1322
6817,1322
1840,1322
3158,1322
7975,1322
10469,1322
10487,1322
1500,1322
7870,1322
10378,1322
3697,1322
3806,1322
4569,1322
11556,1322
11907,1322
9773,1322
1024,1322
538,1322
1437,1322
11043,1322
627,1322
9820,1322
11752,1322
9741,1322
7288,1322
11865,1322
7791,1322
11880,1322
2647,1322
5804,1322
7195,1322
1228,1322
210,1322
8031,1322
1698,1322
12501,1322
4522,1322
9493,1322
4368,1322
10116,1322
4537,1322
9020,1322
584,1322
12617,1322
12792,1322
7398,1322
7394,1322
9524,1322
9553,1322
9872,1322
11393,1322
11768,1322
3489,1322
10115,1322
3583,1322
12275,7789
8060,7789
11481,7789
4858,7789
11414,7789
11466,7789
4803,7789
12623,7789
4710,7789
10456,7789
11201,7789
244,12610
233,12610
5522,12610
6232,12610
5476,12610
8450,12610
2930,12610
12153,12610
4600,12610
11432,12610
481,12610
6832,12610
9373,12201
9201,12201
10386,9968
10449,9968
7663,9968
7699,4923
10061,4923
12742,4923
215,1248
251,1248
10347,1248
11879,1248
2220,1248
5289,1248
11093,1248
6809,1248
11396,1248
2971,1248
5545,1248
12582,1248
7020,1248
2784,5643
2054,5643
4352,5643
3930,9635
3378,9635
9820,9635
3511,9635
6746,9635
4606,9635
9728,9635
4650,9635
10271,9635
5341,9635
2249,9635
6441,9635
11167,11363
5158,11363
9005,3701
8056,3861
10264,12145
8302,12145
9727,12145
3671,244
4569,244
7852,244
6207,244
2634,6438
4516,6438
12275,12195
9074,12195
6573,12195
7975,12195
5476,12195
5125,12195
5700,12195
11752,12195
8014,12195
11472,12195
8445,12195
5850,12195
7789,12275
6573,12275
11481,12275
100,12275
6069,12275
6346,12275
12623,12275
10863,12275
8014,12275
7845,12275
5584,12331
1724,12331
5534,12331
9035,12331
1322,892
7709,892
8060,892
1014,892
8398,892
9625,892
7355,892
4993,892
8358,892
9075,892
10222,892
10721,892
2319,892
9921,892
8536,892
8537,892
8591,892
10259,892
4803,892
943,892
5275,892
1411,892
10406,892
3199,892
9756,892
6817,892
1840,892
8318,892
12504,892
9258,892
10469,892
6214,892
11582,892
3806,892
11879,892
11907,892
3358,892
1024,892
7852,892
7239,892
11898,892
11385,892
2732,892
12453,892
4860,892
7845,892
9211,892
7791,892
11595,892
8361,892
6277,892
1228,892
2554,892
1715,892
6472,892
11773,892
7099,892
9413,892
4704,892
12034,892
10175,892
3864,892
12665,892
8443,892
10116,892
7703,892
11251,892
9042,892
8499,892
11027,892
2883,892
3006,892
4490,892
11307,892
6566,892
10161,892
11393,892
11768,892
4356,892
8802,892
3583,892
11167,5255
5228,5255
4537,5255
